B_rad vs Angle
Distance*360/2/pi/17.5e-3 [meter]
BN3 []
__cartesian__ 0 0 0.000000 -0.556325 360.000000 0.556066
__settings__ 1 0 0 0 11 11 0 0 0 0
111.24 -0.518222
111.6 -0.516945
111.96 -0.515685
112.32 -0.514439
112.68 -0.513207
113.04 -0.511991
113.4 -0.51071
113.76 -0.509206
114.12 -0.507686
114.48 -0.506168
114.84 -0.504656
115.2 -0.503149
115.56 -0.501648
115.92 -0.500151
116.28 -0.498659
116.64 -0.497171
117 -0.495724
117.36 -0.494182
117.72 -0.492501
118.08 -0.490833
118.44 -0.489203
118.8 -0.487611
119.16 -0.485965
119.52 -0.484079
119.88 -0.482229
120.24 -0.480416
120.6 -0.478643
120.96 -0.477007
121.32 -0.475381
121.68 -0.473515
122.04 -0.471579
122.4 -0.469641
122.76 -0.4677
123.12 -0.465756
123.48 -0.463811
123.84 -0.461865
124.2 -0.459918
124.56 -0.457971
124.92 -0.45601
125.28 -0.454092
125.64 -0.452253
126 -0.450494
126.36 -0.448555
126.72 -0.446193
127.08 -0.443875
127.44 -0.441599
127.8 -0.439368
128.16 -0.43718
128.52 -0.435035
128.88 -0.432935
129.24 -0.431
129.6 -0.428749
129.96 -0.42638
130.32 -0.424021
130.68 -0.42167
131.04 -0.419327
131.4 -0.416993
131.76 -0.414668
132.12 -0.412352
132.48 -0.410045
132.84 -0.407746
133.2 -0.405458
133.56 -0.403178
133.92 -0.400741
134.28 -0.398214
134.64 -0.395756
135 -0.393368
135.36 -0.390865
135.72 -0.388288
136.08 -0.385744
136.44 -0.383247
136.8 -0.380933
137.16 -0.378299
137.52 -0.375662
137.88 -0.373024
138.24 -0.370386
138.6 -0.367748
138.96 -0.365111
139.32 -0.362499
139.68 -0.360136
140.04 -0.357392
140.4 -0.35461
140.76 -0.351829
141.12 -0.349049
141.48 -0.34627
141.84 -0.343493
142.2 -0.340719
142.56 -0.338179
142.92 -0.335416
143.28 -0.332624
143.64 -0.329826
144 -0.326967
144.36 -0.324051
144.72 -0.321181
145.08 -0.318357
145.44 -0.315538
145.8 -0.31261
146.16 -0.309673
146.52 -0.306728
146.88 -0.303775
147.24 -0.300814
147.6 -0.297846
147.96 -0.29487
148.32 -0.291889
148.68 -0.288908
149.04 -0.286215
149.4 -0.28326
149.76 -0.280212
150.12 -0.277146
150.48 -0.274108
150.84 -0.271098
151.2 -0.268041
151.56 -0.264856
151.92 -0.261682
152.28 -0.258517
152.64 -0.255441
153 -0.252546
153.36 -0.249494
153.72 -0.246365
154.08 -0.243199
154.44 -0.240035
154.8 -0.236873
155.16 -0.233641
155.52 -0.23038
155.88 -0.227128
156.24 -0.223887
156.6 -0.22073
156.96 -0.217709
157.32 -0.214705
157.68 -0.21141
158.04 -0.208107
158.4 -0.204807
158.76 -0.201508
159.12 -0.19821
159.48 -0.194914
159.84 -0.191619
160.2 -0.188325
160.56 -0.185033
160.92 -0.181746
161.28 -0.178426
161.64 -0.175104
162 -0.17178
162.36 -0.168455
162.72 -0.165129
163.08 -0.161803
163.44 -0.158477
163.8 -0.155257
164.16 -0.151887
164.52 -0.148456
164.88 -0.145022
165.24 -0.141585
165.6 -0.138147
165.96 -0.134706
166.32 -0.131264
166.68 -0.128122
167.04 -0.124933
167.4 -0.121453
167.76 -0.11797
168.12 -0.114486
168.48 -0.111002
168.84 -0.107518
169.2 -0.104036
169.56 -0.100641
169.92 -0.0974818
170.28 -0.0939553
170.64 -0.0904456
171 -0.0869542
171.36 -0.0834825
171.72 -0.0800317
172.08 -0.0766033
172.44 -0.0731984
172.8 -0.0698154
173.16 -0.0663112
173.52 -0.0628042
173.88 -0.059294
174.24 -0.0557804
174.6 -0.052263
174.96 -0.0487632
175.32 -0.0452956
175.68 -0.0418164
176.04 -0.0383255
176.4 -0.0348226
176.76 -0.0313077
177.12 -0.0279851
177.48 -0.0245759
177.84 -0.0210722
178.2 -0.0175642
178.56 -0.0140521
178.92 -0.0105362
179.28 -0.00701664
179.64 -0.0034938
180 3.20633e-005
180.36 0.00356067
180.72 0.00709173
181.08 0.0106249
181.44 0.0140833
181.8 0.0175321
182.16 0.0209913
182.52 0.0244604
182.88 0.0279389
183.24 0.0314262
183.6 0.0349218
183.96 0.0384253
184.32 0.0419362
184.68 0.0454539
185.04 0.0489779
185.4 0.0525078
185.76 0.0558411
186.12 0.0591178
186.48 0.0625658
186.84 0.0660385
187.2 0.0695359
187.56 0.0730582
187.92 0.0766055
188.28 0.0801779
188.64 0.0837756
189 0.0872063
189.36 0.0905471
189.72 0.0939012
190.08 0.0972686
190.44 0.100643
190.8 0.104067
191.16 0.107495
191.52 0.110928
191.88 0.114363
192.24 0.117802
192.6 0.121244
192.96 0.124689
193.32 0.128136
193.68 0.131585
194.04 0.135036
194.4 0.138489
194.76 0.141749
195.12 0.144901
195.48 0.14823
195.84 0.151589
196.2 0.154979
196.56 0.1584
196.92 0.161851
197.28 0.165334
197.64 0.168847
198 0.172133
198.36 0.1753
198.72 0.178486
199.08 0.181692
199.44 0.184925
199.8 0.188218
200.16 0.191517
200.52 0.194819
