B_rad vs Angle
Distance*360/2/pi/17.5e-3 [meter]
BN3 []
__cartesian__ 0 0 0.000000 -0.475531 360.000000 0.475519
__settings__ 1 0 0 0 11 11 0 0 0 0
112.32 -0.474391
112.68 -0.474374
113.04 -0.47438
113.4 -0.474362
113.76 -0.474257
114.12 -0.474154
114.48 -0.474066
114.84 -0.473995
115.2 -0.473939
115.56 -0.473898
115.92 -0.473874
116.28 -0.473864
116.64 -0.473859
117 -0.473785
117.36 -0.473726
117.72 -0.473596
118.08 -0.47347
118.44 -0.473358
118.8 -0.473262
119.16 -0.473181
119.52 -0.473116
119.88 -0.473066
120.24 -0.473032
120.6 -0.473
120.96 -0.472876
121.32 -0.472726
121.68 -0.472597
122.04 -0.472491
122.4 -0.472413
122.76 -0.472318
123.12 -0.472191
123.48 -0.472062
123.84 -0.471934
124.2 -0.471804
124.56 -0.471657
124.92 -0.471506
125.28 -0.471365
125.64 -0.471232
126 -0.471109
126.36 -0.470994
126.72 -0.470888
127.08 -0.470712
127.44 -0.47053
127.8 -0.470356
128.16 -0.470192
128.52 -0.470036
128.88 -0.469889
129.24 -0.469694
129.6 -0.46946
129.96 -0.469236
130.32 -0.469023
130.68 -0.468822
131.04 -0.468633
131.4 -0.468457
131.76 -0.46822
132.12 -0.467939
132.48 -0.467671
132.84 -0.467418
133.2 -0.467179
133.56 -0.466956
133.92 -0.466676
134.28 -0.46635
134.64 -0.466033
135 -0.465726
135.36 -0.465428
135.72 -0.46514
136.08 -0.464863
136.44 -0.464588
136.8 -0.464227
137.16 -0.463801
137.52 -0.463389
137.88 -0.462992
138.24 -0.462609
138.6 -0.462242
138.96 -0.461889
139.32 -0.461543
139.68 -0.461107
140.04 -0.460582
140.4 -0.460057
140.76 -0.459542
141.12 -0.459037
141.48 -0.458541
141.84 -0.458056
142.2 -0.457581
142.56 -0.457041
142.92 -0.456405
143.28 -0.455763
143.64 -0.455123
144 -0.454486
144.36 -0.453852
144.72 -0.453222
145.08 -0.452597
145.44 -0.451913
145.8 -0.451159
146.16 -0.450407
146.52 -0.449656
146.88 -0.448907
147.24 -0.448075
147.6 -0.447198
147.96 -0.446348
148.32 -0.445496
148.68 -0.444642
149.04 -0.443737
149.4 -0.442597
149.76 -0.441569
150.12 -0.440552
150.48 -0.439544
150.84 -0.438611
151.2 -0.437438
151.56 -0.436196
151.92 -0.434967
152.28 -0.433753
152.64 -0.432595
153 -0.431277
153.36 -0.429821
153.72 -0.428372
154.08 -0.42693
154.44 -0.425554
154.8 -0.424084
155.16 -0.4224
155.52 -0.420788
155.88 -0.419148
156.24 -0.417468
156.6 -0.415689
156.96 -0.413866
157.32 -0.411879
157.68 -0.409879
158.04 -0.407867
158.4 -0.405923
158.76 -0.403761
159.12 -0.401458
159.48 -0.399133
159.84 -0.396789
160.2 -0.394427
160.56 -0.391913
160.92 -0.389303
161.28 -0.386639
161.64 -0.383921
162 -0.381081
162.36 -0.378088
162.72 -0.375032
163.08 -0.371918
163.44 -0.368676
163.8 -0.365283
164.16 -0.361868
164.52 -0.358379
